week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,
4/21/2018,4/14/2018,04000US48,Texas,12221,123990,11758426,1.05,4/1/2018
4/14/2018,4/7/2018,04000US48,Texas,12698,116302,11758426,0.99,4/1/2018
4/7/2018,3/31/2018,04000US48,Texas,15108,122403,11706892,1.05,4/1/2018
3/31/2018,3/24/2018,04000US48,Texas,11603,120161,11706892,1.03,3/1/2018
3/24/2018,3/17/2018,04000US48,Texas,14723,129028,11706892,1.1,3/1/2018
3/17/2018,3/10/2018,04000US48,Texas,11837,121792,11706892,1.04,3/1/2018
3/10/2018,3/3/2018,04000US48,Texas,12848,123876,11706892,1.06,3/1/2018
3/3/2018,2/24/2018,04000US48,Texas,12570,129999,11706892,1.11,3/1/2018
2/24/2018,2/17/2018,04000US48,Texas,11697,129920,11706892,1.11,2/1/2018
2/17/2018,2/10/2018,04000US48,Texas,13044,132190,11706892,1.13,2/1/2018
2/10/2018,2/3/2018,04000US48,Texas,13738,129893,11706892,1.11,2/1/2018
2/3/2018,1/27/2018,04000US48,Texas,14131,136766,11706892,1.17,2/1/2018
1/27/2018,1/20/2018,04000US48,Texas,14275,140604,11706892,1.2,1/1/2018
1/20/2018,1/13/2018,04000US48,Texas,12793,144349,11706892,1.23,1/1/2018
1/13/2018,1/6/2018,04000US48,Texas,20540,144179,11706892,1.23,1/1/2018
1/6/2018,12/30/2017,04000US48,Texas,14973,148901,11604324,1.28,1/1/2018
12/30/2017,12/23/2017,04000US48,Texas,9919,133078,11604324,1.15,12/1/2017
12/23/2017,12/16/2017,04000US48,Texas,14138,139198,11604324,1.2,12/1/2017
12/16/2017,12/9/2017,04000US48,Texas,14244,136339,11604324,1.17,12/1/2017
12/9/2017,12/2/2017,04000US48,Texas,14375,135717,11604324,1.17,12/1/2017
12/2/2017,11/25/2017,04000US48,Texas,19599,140371,11604324,1.21,12/1/2017
11/25/2017,11/18/2017,04000US48,Texas,10737,134210,11604324,1.16,11/1/2017
11/18/2017,11/11/2017,04000US48,Texas,15826,125798,11604324,1.08,11/1/2017
11/11/2017,11/4/2017,04000US48,Texas,14719,136990,11604324,1.18,11/1/2017
11/4/2017,10/28/2017,04000US48,Texas,14937,124127,11604324,1.07,11/1/2017
10/28/2017,10/21/2017,04000US48,Texas,14423,143632,11604324,1.24,10/1/2017
10/21/2017,10/14/2017,04000US48,Texas,15164,128786,11604324,1.11,10/1/2017
10/14/2017,10/7/2017,04000US48,Texas,14865,145286,11604324,1.25,10/1/2017
10/7/2017,9/30/2017,04000US48,Texas,16656,133903,11545879,1.16,10/1/2017
9/30/2017,9/23/2017,04000US48,Texas,17063,163562,11545879,1.42,9/1/2017
9/23/2017,9/16/2017,04000US48,Texas,20104,156703,11545879,1.36,9/1/2017
9/16/2017,9/9/2017,04000US48,Texas,28387,193355,11545879,1.67,9/1/2017
9/9/2017,9/2/2017,04000US48,Texas,52024,128496,11545879,1.11,9/1/2017
9/2/2017,8/26/2017,04000US48,Texas,63788,135605,11545879,1.17,9/1/2017
8/26/2017,8/19/2017,04000US48,Texas,12105,143964,11545879,1.25,8/1/2017
8/19/2017,8/12/2017,04000US48,Texas,13290,146555,11545879,1.27,8/1/2017
8/12/2017,8/5/2017,04000US48,Texas,13218,146399,11545879,1.27,8/1/2017
8/5/2017,7/29/2017,04000US48,Texas,14081,147742,11545879,1.28,8/1/2017
7/29/2017,7/22/2017,04000US48,Texas,13166,152941,11545879,1.32,7/1/2017
7/22/2017,7/15/2017,04000US48,Texas,13607,153020,11545879,1.33,7/1/2017
7/15/2017,7/8/2017,04000US48,Texas,14448,153336,11545879,1.33,7/1/2017
7/8/2017,7/1/2017,04000US48,Texas,13296,148194,11545879,1.28,7/1/2017
7/1/2017,6/24/2017,04000US48,Texas,14052,151427,11512952,1.32,7/1/2017
6/24/2017,6/17/2017,04000US48,Texas,15407,151376,11512952,1.31,6/1/2017
6/17/2017,6/10/2017,04000US48,Texas,15593,149920,11512952,1.3,6/1/2017
6/10/2017,6/3/2017,04000US48,Texas,15942,138526,11512952,1.2,6/1/2017
6/3/2017,5/27/2017,04000US48,Texas,14020,142868,11512952,1.24,6/1/2017
5/27/2017,5/20/2017,04000US48,Texas,15135,137165,11512952,1.19,5/1/2017
5/20/2017,5/13/2017,04000US48,Texas,15198,141368,11512952,1.23,5/1/2017
5/13/2017,5/6/2017,04000US48,Texas,14546,134071,11512952,1.16,5/1/2017
5/6/2017,4/29/2017,04000US48,Texas,14590,141653,11512952,1.23,5/1/2017
4/29/2017,4/22/2017,04000US48,Texas,13224,139968,11512952,1.22,4/1/2017
4/22/2017,4/15/2017,04000US48,Texas,13835,144889,11512952,1.26,4/1/2017
4/15/2017,4/8/2017,04000US48,Texas,13147,139357,11512952,1.21,4/1/2017
4/8/2017,4/1/2017,04000US48,Texas,16625,142058,11512952,1.23,4/1/2017
4/1/2017,3/25/2017,04000US48,Texas,13745,144323,11526467,1.25,4/1/2017
3/25/2017,3/18/2017,04000US48,Texas,15950,149911,11526467,1.3,3/1/2017
3/18/2017,3/11/2017,04000US48,Texas,13344,145769,11526467,1.26,3/1/2017
3/11/2017,3/4/2017,04000US48,Texas,14103,145929,11526467,1.27,3/1/2017
3/4/2017,2/25/2017,04000US48,Texas,13841,150379,11526467,1.3,3/1/2017
2/25/2017,2/18/2017,04000US48,Texas,12293,152877,11526467,1.33,2/1/2017
2/18/2017,2/11/2017,04000US48,Texas,13841,153292,11526467,1.33,2/1/2017
2/11/2017,2/4/2017,04000US48,Texas,14652,154824,11526467,1.34,2/1/2017
2/4/2017,1/28/2017,04000US48,Texas,15306,155865,11526467,1.35,2/1/2017
1/28/2017,1/21/2017,04000US48,Texas,15118,165892,11526467,1.44,1/1/2017
1/21/2017,1/14/2017,04000US48,Texas,15064,161675,11526467,1.4,1/1/2017
1/14/2017,1/7/2017,04000US48,Texas,17583,170051,11526467,1.48,1/1/2017
1/7/2017,12/31/2016,04000US48,Texas,21401,167019,11489518,1.45,1/1/2017
12/31/2016,12/24/2016,04000US48,Texas,11715,168717,11489518,1.47,12/1/2016
12/24/2016,12/17/2016,04000US48,Texas,13720,153582,11489518,1.34,12/1/2016
12/17/2016,12/10/2016,04000US48,Texas,15595,168225,11489518,1.46,12/1/2016
12/10/2016,12/3/2016,04000US48,Texas,15509,151207,11489518,1.32,12/1/2016
12/3/2016,11/26/2016,04000US48,Texas,20194,175613,11489518,1.53,12/1/2016
11/26/2016,11/19/2016,04000US48,Texas,10877,147856,11489518,1.29,11/1/2016
11/19/2016,11/12/2016,04000US48,Texas,18565,159339,11489518,1.39,11/1/2016
11/12/2016,11/5/2016,04000US48,Texas,15829,147819,11489518,1.29,11/1/2016
11/5/2016,10/29/2016,04000US48,Texas,17998,156476,11489518,1.36,11/1/2016
10/29/2016,10/22/2016,04000US48,Texas,15832,152512,11489518,1.33,10/1/2016
10/22/2016,10/15/2016,04000US48,Texas,15308,157801,11489518,1.37,10/1/2016
10/15/2016,10/8/2016,04000US48,Texas,14613,154824,11489518,1.35,10/1/2016
10/8/2016,10/1/2016,04000US48,Texas,16881,157796,11489518,1.37,10/1/2016
10/1/2016,9/24/2016,04000US48,Texas,14323,163680,11464998,1.43,10/1/2016
9/24/2016,9/17/2016,04000US48,Texas,14694,165962,11464998,1.45,9/1/2016
9/17/2016,9/10/2016,04000US48,Texas,14817,169348,11464998,1.48,9/1/2016
9/10/2016,9/3/2016,04000US48,Texas,13072,164760,11464998,1.44,9/1/2016
9/3/2016,8/27/2016,04000US48,Texas,15707,177039,11464998,1.54,9/1/2016
8/27/2016,8/20/2016,04000US48,Texas,14268,180016,11464998,1.57,8/1/2016
8/20/2016,8/13/2016,04000US48,Texas,15210,185052,11464998,1.61,8/1/2016
8/13/2016,8/6/2016,04000US48,Texas,15596,182533,11464998,1.59,8/1/2016
8/6/2016,7/30/2016,04000US48,Texas,16186,188295,11464998,1.64,8/1/2016
7/30/2016,7/23/2016,04000US48,Texas,14990,189988,11464998,1.66,7/1/2016
7/23/2016,7/16/2016,04000US48,Texas,15838,192281,11464998,1.68,7/1/2016
7/16/2016,7/9/2016,04000US48,Texas,17483,192200,11464998,1.68,7/1/2016
7/9/2016,7/2/2016,04000US48,Texas,16075,183095,11464998,1.6,7/1/2016
7/2/2016,6/25/2016,04000US48,Texas,16540,190291,11416813,1.67,7/1/2016
6/25/2016,6/18/2016,04000US48,Texas,17181,191054,11416813,1.67,6/1/2016
6/18/2016,6/11/2016,04000US48,Texas,17571,189644,11416813,1.66,6/1/2016
6/11/2016,6/4/2016,04000US48,Texas,17624,179754,11416813,1.57,6/1/2016
6/4/2016,5/28/2016,04000US48,Texas,16543,183745,11416813,1.61,6/1/2016
5/28/2016,5/21/2016,04000US48,Texas,17101,179596,11416813,1.57,5/1/2016
5/21/2016,5/14/2016,04000US48,Texas,17421,182079,11416813,1.59,5/1/2016
5/14/2016,5/7/2016,04000US48,Texas,17346,175739,11416813,1.54,5/1/2016
5/7/2016,4/30/2016,04000US48,Texas,17074,180372,11416813,1.58,5/1/2016
4/30/2016,4/23/2016,04000US48,Texas,16133,178982,11416813,1.57,4/1/2016
4/23/2016,4/16/2016,04000US48,Texas,16288,181331,11416813,1.59,4/1/2016
4/16/2016,4/9/2016,04000US48,Texas,16564,176156,11416813,1.54,4/1/2016
4/9/2016,4/2/2016,04000US48,Texas,19103,172637,11416813,1.51,4/1/2016
4/2/2016,3/26/2016,04000US48,Texas,16427,178756,11181963,1.6,4/1/2016
3/26/2016,3/19/2016,04000US48,Texas,17361,182931,11181963,1.64,3/1/2016
3/19/2016,3/12/2016,04000US48,Texas,16306,179249,11181963,1.6,3/1/2016
3/12/2016,3/5/2016,04000US48,Texas,16955,175285,11181963,1.57,3/1/2016
3/5/2016,2/27/2016,04000US48,Texas,17643,176560,11181963,1.58,3/1/2016
2/27/2016,2/20/2016,04000US48,Texas,16936,179585,11181963,1.61,2/1/2016
2/20/2016,2/13/2016,04000US48,Texas,15977,174913,11181963,1.56,2/1/2016
2/13/2016,2/6/2016,04000US48,Texas,16967,174666,11181963,1.56,2/1/2016
2/6/2016,1/30/2016,04000US48,Texas,19309,174000,11181963,1.56,2/1/2016
1/30/2016,1/23/2016,04000US48,Texas,17635,179310,11181963,1.6,1/1/2016
1/23/2016,1/16/2016,04000US48,Texas,16838,175742,11181963,1.57,1/1/2016
1/16/2016,1/9/2016,04000US48,Texas,19126,181738,11181963,1.63,1/1/2016
1/9/2016,1/2/2016,04000US48,Texas,26258,179040,11181963,1.6,1/1/2016
1/2/2016,12/26/2015,04000US48,Texas,12859,180569,11275316,1.6,1/1/2016
12/26/2015,12/19/2015,04000US48,Texas,10933,160420,11275316,1.42,12/1/2015
12/19/2015,12/12/2015,04000US48,Texas,16016,177836,11275316,1.58,12/1/2015
12/12/2015,12/5/2015,04000US48,Texas,17168,162238,11275316,1.44,12/1/2015
12/5/2015,11/28/2015,04000US48,Texas,21703,182647,11275316,1.62,12/1/2015
11/28/2015,11/21/2015,04000US48,Texas,10921,157411,11275316,1.4,11/1/2015
11/21/2015,11/14/2015,04000US48,Texas,18146,169363,11275316,1.5,11/1/2015
11/14/2015,11/7/2015,04000US48,Texas,16301,160704,11275316,1.43,11/1/2015
11/7/2015,10/31/2015,04000US48,Texas,19421,160947,11275316,1.43,11/1/2015
10/31/2015,10/24/2015,04000US48,Texas,16966,162024,11275316,1.44,10/1/2015
10/24/2015,10/17/2015,04000US48,Texas,16449,159096,11275316,1.41,10/1/2015
10/17/2015,10/10/2015,04000US48,Texas,16217,159631,11275316,1.42,10/1/2015
10/10/2015,10/3/2015,04000US48,Texas,19110,151925,11275316,1.35,10/1/2015
10/3/2015,9/26/2015,04000US48,Texas,16483,163862,11181963,1.47,10/1/2015
9/26/2015,9/19/2015,04000US48,Texas,15160,161106,11181963,1.44,9/1/2015
9/19/2015,9/12/2015,04000US48,Texas,15661,169115,11181963,1.51,9/1/2015
9/12/2015,9/5/2015,04000US48,Texas,13476,160294,11181963,1.43,9/1/2015
9/5/2015,8/29/2015,04000US48,Texas,17045,170253,11181963,1.52,9/1/2015
